Iteration,My,Sigma
0,3.1623829893034,1.46373534763125
1,3.17529669372524,1.45703072463084
2,3.18479441679038,1.43788854547039
3,3.18969378269066,1.45109079803393
4,3.20054672065294,1.44992568269225
5,3.21700125844297,1.43277541333184
6,3.20706159323069,1.4410943586845
7,3.19878952137885,1.45612848714955
8,3.20464048742125,1.44915403794422
9,3.20154181586614,1.45904360129099
10,3.18721045624405,1.45230179115763
11,3.18093560258297,1.46331738197109
12,3.18489018713041,1.47772737803975
13,3.17971304299136,1.49668465269799
14,3.20091451097381,1.49114672046719
15,3.20697292267248,1.50361451643683
16,3.20544754441294,1.48976441481465
17,3.20548497593894,1.49323623833729
18,3.21262577949902,1.48062692015557
19,3.21165306055363,1.47749985372099
20,3.19793470910654,1.46760789561863
21,3.19793470910654,1.46760789561863
22,3.1944117612749,1.4686781034394
23,3.20121446264084,1.46071184798017
24,3.20222092346048,1.46320387436446
25,3.20893238607749,1.46440354398548
26,3.20350332423596,1.45267497335978
27,3.19672893164376,1.45451766963319
28,3.20442177231647,1.46495462878976
29,3.21224576048792,1.46998163605123
30,3.20062194529229,1.45489256766991
31,3.20272271972776,1.4547060405997
32,3.19877397872376,1.4695839541487
33,3.20371176965654,1.45944581041822
34,3.20371176965654,1.45944581041822
35,3.19806285824699,1.44009623913887
36,3.19317386072819,1.44554353052873
37,3.19599131277602,1.43664256657442
38,3.19212004472307,1.43117262675659
39,3.20318429341415,1.4357603662085
40,3.20504858765204,1.43006129097979
41,3.20128232078302,1.43012283454703
42,3.21223346235013,1.44109092786838
43,3.19346374059546,1.45316491509012
44,3.1816819338229,1.46598427600967
45,3.17746076464064,1.46431410470651
46,3.19082164962889,1.47285824798216
47,3.18580957294482,1.47467779857816
48,3.18329169652666,1.46718530100496
49,3.18329169652666,1.46718530100496
50,3.19756827429901,1.47725441636307
51,3.19756827429901,1.47725441636307
52,3.20299200662094,1.48921204760744
53,3.20299200662094,1.48921204760744
54,3.20243740211113,1.48976079412361
55,3.21790779049673,1.50659758421374
56,3.22660519177433,1.50084685528945
57,3.22660519177433,1.50084685528945
58,3.22763992112262,1.48466052238147
59,3.2219124427999,1.491970762643
60,3.21735889396701,1.48772681220993
61,3.20381516016333,1.49544760682356
62,3.20669791687887,1.49718008580458
63,3.20611859585599,1.4889418262296
64,3.20183851648843,1.49219005667224
65,3.20119253285045,1.48690749223618
66,3.19851513584736,1.48220551364556
67,3.1879220580667,1.4723950180415
68,3.1687659543033,1.47099649825236
69,3.16495817301812,1.46896469000967
70,3.16685716952827,1.47097484444526
71,3.15010350689178,1.47311962359153
72,3.1512573526102,1.48167628951411
73,3.16308855938577,1.48331285149664
74,3.15931943551919,1.47924657966597
75,3.15931943551919,1.47924657966597
76,3.15472812838609,1.46519715465349
77,3.15220007420791,1.47017632515049
78,3.15775689693355,1.46498234620334
79,3.15799516420268,1.46225201571443
80,3.16617269059136,1.45610915856257
81,3.15023914942519,1.45338294226566
82,3.15023914942519,1.45338294226566
83,3.14467050054763,1.45250800638104
84,3.14467050054763,1.45250800638104
85,3.14640531313177,1.43460036261463
86,3.15156617311557,1.43911626813813
87,3.14007535030484,1.43981940114001
88,3.13810262314957,1.43158216973223
89,3.14905371457906,1.41509992815215
90,3.13976896203429,1.43526079517323
91,3.15598032279507,1.41961526132731
92,3.14053581197319,1.42768644547964
93,3.14053581197319,1.42768644547964
94,3.1389216487162,1.43025810074019
